MON timestamp weightedPrice RollingMin RollingMax averPrice stdevPrice coin cash curBalanceCoin curBalanceDollar trades decision
MON 80 11225.3 7884.71 13103.0 11225.3 0 0.0 1000.0 0.08908447881125672 1000.0 0 0
MON 81 11403.7 7931.1 12895.9 11403.7 0 0.0 1000.0 0.0876908371844226 1000.0 0 0
MON 82 10690.4 7931.1 12040.3 10690.4 0 0.0 1000.0 0.09354186934071691 1000.0 0 0
MON 83 10005.0 8141.43 12040.3 10005.0 0 0.0 1000.0 0.09995002498750624 1000.0 0 0
MON 84 10301.1 8455.41 12040.3 10301.1 0 0.0 1000.0 0.09707701119297939 1000.0 0 0
MON 85 9813.07 8599.92 12040.3 9813.07 0 0.0 1000.0 0.10190490845372549 1000.0 0 0
MON 86 9664.73 9395.58 12040.3 9664.73 0 0.0 1000.0 0.10346900534210475 1000.0 0 0
MON 87 10366.7 9407.06 12040.3 10366.7 0 0.0 1000.0 0.09646271233854553 1000.0 0 0
MON 88 10725.6 9407.06 12040.3 10725.6 0 0.0 1000.0 0.09323487730290146 1000.0 0 0
MON 89 10397.9 9407.06 11958.5 10397.9 0 0.0 1000.0 0.09617326575558527 1000.0 0 0
MON 90 10951.0 9407.06 11958.5 10951.0 0 0.0 1000.0 0.09131586156515387 1000.0 0 0
MON 91 11086.4 9407.06 11958.5 11086.4 0 0.0 1000.0 0.09020060614807332 1000.0 0 0
MON 92 11489.7 9407.06 11958.5 11489.7 0 0.0 1000.0 0.08703447435529213 1000.0 0 0
MON 93 11512.6 9407.06 11958.5 11512.6 0 0.0 1000.0 0.08686135191008112 1000.0 0 0
MON 94 11573.3 9407.06 11958.5 11573.3 0 0.0 1000.0 0.08640577881848739 1000.0 0 0
MON 95 10779.9 9407.06 11958.5 10779.9 0 0.0 1000.0 0.09276523900963832 1000.0 0 0
MON 96 9965.57 9407.06 11958.5 9965.57 0 0.0 1000.0 0.1003454895204188 1000.0 0 0
MON 97 9395.01 9501.73 11958.5 9395.01 0 0.0 1000.0 0.1064394822357826 1000.0 0 0
MON 98 9337.55 9335.87 11958.5 9337.55 0 0.0 1000.0 0.10709447338970074 1000.0 0 0
